frame,gridx,gridy,hand_value
30,1,1,-6.874943300697314e-08
30,1,2,-0.0004231609957056935
30,1,3,-0.04189218589326343
30,1,4,0.6320652758770605
30,1,5,0.7994042524770397
30,1,6,-0.001102626834248564
30,2,1,-1.2359686174312722e-05
30,2,2,-0.04284413874494777
30,2,3,-0.44198664666692467
30,2,4,-0.8725082703016321
30,2,5,-0.1237087263493033
30,2,6,-0.00012100206494465956
30,3,1,-7.943066114777853e-07
30,3,2,-0.0012891068615091855
30,3,3,-0.00855324520860728
30,3,4,-0.013237332474179972
30,3,5,-0.0001637653993385428
30,3,6,-8.107811035947081e-10
30,4,1,-2.0488578194477967e-13
30,4,2,-2.4994917405420473e-10
30,4,3,-1.5167372678547945e-09
30,4,4,-5.54826949069759e-09
30,4,5,-4.075837041331302e-11
30,4,6,-1.106231579129195e-17
30,5,1,-5.273819607639758e-28
30,5,2,-6.509639163644834e-25
30,5,3,-2.9892269057371973e-24
30,5,4,-1.039345797604849e-23
30,5,5,-7.645509769090913e-26
30,5,6,-2.0686546029877388e-32
30,6,1,-2.2532775965790478e-51
30,6,2,-2.78020731095548e-48
30,6,3,-9.074279169055039e-48
30,6,4,-2.849604073075684e-47
30,6,5,-2.1003961390781814e-49
30,6,6,-5.697698721067938e-56
30,7,1,-1.3214012491174408e-83
30,7,2,-1.6299183290798887e-80
30,7,3,-3.8392986111850174e-80
30,7,4,-1.0322308590107376e-79
30,7,5,-7.623523196023855e-82
30,7,6,-2.073306045261572e-88
30,8,1,-1.0204934697578623e-124
30,8,2,-1.2585687731720915e-121
30,8,3,-2.235197240495078e-121
30,8,4,-4.820742523659903e-121
30,8,5,-3.567293208875816e-123
30,8,6,-9.726166282268834e-130
90,1,1,-4.196465828704119e-08
90,1,2,-0.00025783969685560875
90,1,3,-0.025066012574194885
90,1,4,0.4407569129735673
90,1,5,0.5528421177185944
90,1,6,-0.0005521444121660584
90,2,1,-7.55509530023598e-06
90,2,2,-0.02613632809023617
90,2,3,-0.2680430089632376
90,2,4,-0.5228640524720752
90,2,5,-0.07323126101330628
90,2,6,-7.086906308673445e-05
90,3,1,-4.867480517742196e-07
90,3,2,-0.0007884586464186252
90,3,3,-0.005199125074716313
90,3,4,-0.008023786356611088
90,3,5,-9.879861160803482e-05
90,3,6,-4.820922657015748e-10
90,4,1,-1.261604132588793e-13
90,4,2,-1.5391499316509816e-10
90,4,3,-9.247014826691361e-10
90,4,4,-3.3768273091163416e-09
90,4,5,-2.480682068652691e-11
90,4,6,-6.7325296271707825e-18
90,5,1,-3.250003570812043e-28
90,5,2,-4.0115082958992344e-25
90,5,3,-1.8237583381259453e-24
90,5,4,-6.325871496380222e-24
90,5,5,-4.6534404443878316e-26
90,5,6,-1.2591148726447597e-32
90,6,1,-1.3888947482099552e-51
90,6,2,-1.7136657160639773e-48
90,6,3,-5.542176372869653e-48
90,6,4,-1.734409075619644e-47
90,6,5,-1.2784257703893032e-49
90,6,6,-3.468034282408667e-56
90,7,1,-8.145903844945009e-84
90,7,2,-1.0047698611411278e-80
90,7,3,-2.3481383026828893e-80
90,7,4,-6.2827622342196e-80
90,7,5,-4.6401987811037465e-82
90,7,6,-1.2619837332629003e-88
90,8,1,-6.291469969750077e-125
90,8,2,-7.759189520862185e-122
90,8,3,-1.36928809567483e-121
90,8,4,-2.9342328073101652e-121
90,8,5,-2.1713316026188273e-123
90,8,6,-5.920227235878297e-130
150,1,1,-1.5179883567109215e-08
150,1,2,-9.251839800552398e-05
150,1,3,-0.008239839255126374
150,1,4,0.24944855007007447
150,1,5,0.30627998296014797
150,1,6,-1.6619900835530446e-06
150,2,1,-2.750504426159243e-06
150,2,2,-0.009428517435524591
150,2,3,-0.09409937125955042
150,2,4,-0.17321983464251808
150,2,5,-0.022753795677309226
150,2,6,-2.0736061228809277e-05
150,3,1,-1.7918949207065397e-07
150,3,2,-0.00028781043132806435
150,3,3,-0.0018450049408253522
150,3,4,-0.002810240239042196
150,3,5,-3.383182387752656e-05
150,3,6,-1.5340342780844278e-10
150,4,1,-4.743504457297881e-14
150,4,2,-5.788081227599164e-11
150,4,3,-3.326656974834782e-10
150,4,4,-1.205385127535095e-09
150,4,5,-8.855270959740915e-12
150,4,6,-2.4027434630496133e-18
150,5,1,-1.2261875339843297e-28
150,5,2,-1.513377428153632e-25
150,5,3,-6.582897705146921e-25
150,5,4,-2.258285016711959e-24
150,5,5,-1.6613711196847464e-26
150,5,6,-4.4957514230177874e-33
150,6,1,-5.2451189984086275e-52
150,6,2,-6.47124121172473e-49
150,6,3,-2.0100735766842636e-48
150,6,4,-6.192140781636032e-48
150,6,5,-4.564554017004265e-50
150,6,6,-1.238369843749391e-56
150,7,1,-3.077795198715605e-84
150,7,2,-3.796213932023665e-81
150,7,3,-8.569779941807613e-81
150,7,4,-2.243215878331819e-80
150,7,5,-1.656874366183644e-82
150,7,6,-4.506614212642283e-89
150,8,1,-2.3780052419215284e-125
150,8,2,-2.9326913100034615e-122
150,8,3,-5.033789508545817e-122
150,8,4,-1.0477230909604249e-121
150,8,5,-7.75369996361837e-124
150,8,6,-2.1142881894877632e-130
210,1,1,1.901536412946626e-08
210,1,2,9.835016070838461e-05
210,1,3,0.005969534088733586
210,1,4,0.08142842301161456
210,1,5,0.08752959237030183
210,1,6,0.00030552167688561007
210,2,1,4.379587409462152e-06
210,2,2,0.01144930543349544
210,2,3,0.075072666638134
210,2,4,0.10690513764722696
210,2,5,0.014131580775845665
210,2,6,1.4046609367110603e-05
210,3,1,4.1848971962278005e-07
210,3,2,0.0005489053328580946
210,3,3,0.0017935812711572954
210,3,4,0.0022260492707146464
210,3,5,2.3993816144798677e-05
210,3,6,9.317803209507575e-11
210,4,1,3.9127527686885266e-12
210,4,2,1.206082436355224e-08
210,4,3,1.8598331128123244e-08
210,4,4,1.1038078529939065e-09
210,4,5,7.926921623565484e-12
210,4,6,2.150832644743952e-18
210,5,1,1.8798301803889773e-23
210,5,2,6.293203493175324e-20
210,5,3,9.752493648075074e-20
210,5,4,1.4211643608876817e-22
210,5,5,1.4900903371668248e-26
210,5,6,4.038033585336947e-33
210,6,1,2.7286134003200173e-43
210,6,2,9.053755313680131e-40
210,6,3,1.3953461583171815e-39
210,6,4,1.9837517470295634e-42
210,6,5,1.123138672471465e-49
210,6,6,1.1136215294599327e-56
210,7,1,6.092653135392346e-72
210,7,2,2.018295992205102e-68
210,7,3,3.1073805302371276e-68
210,7,4,4.4089773206149475e-71
210,7,5,1.5813695804934705e-78
210,7,6,4.1263980716347274e-89
210,8,1,1.8257332798424922e-109
210,8,2,6.055073662003505e-106
210,8,3,9.327984028115908e-106
210,8,4,1.3247993988241681e-108
210,8,5,4.756034362589658e-116
210,8,6,2.096122119459812e-128
270,1,1,1.5691690834168053e-10
270,1,2,1.827695459905025e-07
270,1,3,1.9483885756932835e-07
270,1,4,2.1040776045324206e-10
270,1,5,8.03862697559235e-18
270,1,6,5.509631619903407e-27
270,2,1,8.689229297713992e-07
270,2,2,0.0014781291564552243
270,2,3,0.0022393775502206506
270,2,4,7.103874654906658e-06
270,2,5,7.22224513332127e-09
270,2,6,4.835821243626488e-15
270,3,1,1.6399942270650544e-05
270,3,2,0.059265985476363026
270,3,3,0.1275824607586795
270,3,4,0.0034868991924923948
270,3,5,7.243836943015258e-05
270,3,6,8.776755732129559e-09
270,4,1,3.8923557352127016e-05
270,4,2,0.08258557300586218
270,4,3,0.12883224460857315
270,4,4,0.0013221081465572269
270,4,5,0.0001721358591711095
270,4,6,4.7728463930278426e-08
270,5,1,3.1431611099497455e-07
270,5,2,0.0005722625475057494
270,5,3,0.0012428439237219908
270,5,4,0.0001427815073435707
270,5,5,2.246709191311466e-06
270,5,6,2.180918470343736e-11
270,6,1,1.1689328378408192e-15
270,6,2,2.081284078740169e-11
270,6,3,1.3918781792648965e-09
270,6,4,2.8047614108667732e-09
270,6,5,6.795203441640306e-11
270,6,6,3.008956119072531e-16
270,7,1,1.999254751949378e-31
270,7,2,1.037346486487357e-25
270,7,3,7.03770321163102e-23
270,7,4,3.3177098938575554e-22
270,7,5,1.0984743911089505e-23
270,7,6,6.350251319991943e-29
270,8,1,1.0031816770862587e-54
270,8,2,3.621823273000307e-48
270,8,3,9.445715392501697e-45
270,8,4,7.527260556944573e-44
270,8,5,3.1578597123079495e-45
270,8,6,2.2112109982983614e-50
330,1,1,1.0822471537528132e-40
330,1,2,2.8641475619452133e-30
330,1,3,1.1546793996070127e-24
330,1,4,3.1177750778711907e-23
330,1,5,1.9800055727680408e-24
330,1,6,1.1179955288705707e-29
330,2,1,2.74048159167606e-23
330,2,2,3.061132687397318e-16
330,2,3,3.005473145703967e-11
330,2,4,6.805077595668423e-10
330,2,5,4.4110769511059726e-11
330,2,6,1.1072289293345424e-15
330,3,1,1.905456943290526e-12
330,3,2,3.973866219153054e-08
330,3,3,0.0006329462148530005
330,3,4,0.0036815048697593513
330,3,5,0.00017145136205211117
330,3,6,1.6800925802005743e-08
330,4,1,2.0506103522464587e-09
330,4,2,2.160653345140598e-05
330,4,3,0.030499537698779427
330,4,4,0.17355491487718555
330,4,5,0.005147470773922902
330,4,6,2.1698151006366104e-07
330,5,1,2.1106513395488417e-10
330,5,2,4.49798127595384e-06
330,5,3,0.005415896433228771
330,5,4,0.16417318927065763
330,5,5,0.02434525231684885
330,5,6,9.226232439937636e-07
