frame,gridx,gridy,hand_value
30,1,1,-3.5881336416569394e-85
30,1,2,-1.0471893637408972e-61
30,1,3,-3.153548296562229e-43
30,1,4,-1.0145807024342189e-29
30,1,5,-3.916035727708383e-21
30,1,6,-3.073590434518171e-17
30,2,1,-4.920542258473721e-74
30,2,2,-1.1241495971115044e-50
30,2,3,-3.327953247846265e-32
30,2,4,-1.068922467962694e-18
30,2,5,-4.456638233549136e-10
30,2,6,-4.942882848268636e-06
30,3,1,-6.826579183597384e-61
30,3,2,-6.042125631908384e-41
30,3,3,-5.535185878658721e-26
30,3,4,-2.2074802293651375e-15
30,3,5,-1.6797318707529038e-06
30,3,6,-0.06700371272985915
30,4,1,-1.564046084319148e-55
30,4,2,-1.3857033005223057e-35
30,4,3,-1.2798546099776735e-20
30,4,4,-1.456923425807013e-10
30,4,5,-5.203888221673845e-05
30,4,6,-0.1155794608077243
30,5,1,-1.73149977492469e-55
30,5,2,-1.5386477598329006e-35
30,5,3,-1.5091643325622092e-20
30,5,4,-4.486719930447859e-10
30,5,5,-0.0016559720263686903
30,5,6,-0.5325805972097643
30,6,1,-1.8619677548581923e-60
30,6,2,-2.190698028842881e-39
30,6,3,-7.930887906604321e-23
30,6,4,-3.646480942116624e-11
30,6,5,-0.00010065520792310304
30,6,6,0.8865609943282763
30,7,1,-5.237975437169794e-68
30,7,2,-3.0315526114318847e-46
30,7,3,1.9237077170000958e-29
30,7,4,1.1211724768951095e-15
30,7,5,3.737200386349291e-07
30,7,6,0.002300835646616074
30,8,1,1.491609708654396e-81
30,8,2,4.262542270499617e-58
30,8,3,1.1611780888390682e-39
30,8,4,3.295095333524616e-26
30,8,5,1.0815861544146341e-17
30,8,6,6.646177853597271e-14
90,1,1,-2.5990173725541836e-85
90,1,2,-7.585000115403754e-62
90,1,3,-2.2841273226812835e-43
90,1,4,-7.348474549729053e-30
90,1,5,-2.836226457240348e-21
90,1,6,-2.2258858017860387e-17
90,2,1,-3.5669295532244835e-74
90,2,2,-8.142049349170078e-51
90,2,3,-2.410314598788416e-32
90,2,4,-7.741402073594423e-19
90,2,5,-3.2270513875795453e-10
90,2,6,-3.577323112155261e-06
90,3,1,-4.964783627467036e-61
90,3,2,-4.3942630877007073e-41
90,3,3,-4.0254897755109845e-26
90,3,4,-1.5980424101471722e-15
90,3,5,-1.2090083550150712e-06
90,3,6,-0.04813965726231145
90,4,1,-1.137487194110322e-55
90,4,2,-1.0077773286042463e-35
90,4,3,-9.307457518621075e-21
90,4,4,-1.0590221262680181e-10
90,4,5,-3.77152892322242e-05
90,4,6,-0.08265776288659482
90,5,1,-1.2592698614309674e-55
90,5,2,-1.1189806080059807e-35
90,5,3,-1.0967855594671128e-20
90,5,4,-3.236662390322166e-10
90,5,5,-0.0011892765103330516
90,5,6,-0.38052954776685666
90,6,1,-1.3483425760371861e-60
90,6,2,-1.573191541330351e-39
90,6,3,-5.689657871377188e-23
90,6,4,-2.613017007155027e-11
90,6,5,-6.628760574995642e-05
90,6,6,0.6704811947556535
90,7,1,-3.753035048972848e-68
90,7,2,-2.167316599757709e-46
90,7,3,1.4951462862959055e-29
90,7,4,8.356533960823485e-16
90,7,5,2.7821723431876543e-07
90,7,6,0.0017120507810410971
90,8,1,1.111942388115714e-81
90,8,2,3.1690634616476206e-58
90,8,3,8.629921508162591e-40
90,8,4,2.4483769630230647e-26
90,8,5,8.035263444755537e-18
90,8,6,4.9369887215898573e-14
150,1,1,-1.609901103451428e-85
150,1,2,-4.698106593398536e-62
150,1,3,-1.414706348800338e-43
150,1,4,-4.55114207511592e-30
150,1,5,-1.7564171867723124e-21
150,1,6,-1.3781811690539072e-17
150,2,1,-2.2133168479752463e-74
150,2,2,-5.042602727225112e-51
150,2,3,-1.4926759497305677e-32
150,2,4,-4.79357946756191e-19
150,2,5,-1.9974645416099542e-10
150,2,6,-2.2117633760418878e-06
150,3,1,-3.1029880713366876e-61
150,3,2,-2.7464005434930314e-41
150,3,3,-2.515793672363249e-26
150,3,4,-9.886045909292068e-16
150,3,5,-7.382848392772386e-07
150,3,6,-0.029275601794763743
150,4,1,-7.1092830390149575e-56
150,4,2,-6.298513566861868e-36
150,4,3,-5.8163689374654156e-21
150,4,4,-6.611208267290231e-11
150,4,5,-2.339169624770994e-05
150,4,6,-0.04973606496546539
150,5,1,-7.870399479372444e-56
150,5,2,-6.993134561790602e-36
150,5,3,-6.844067863720165e-21
150,5,4,-1.986604850196472e-10
150,5,5,-0.000722580994297413
150,5,6,-0.22847849832394881
150,6,1,-8.347173972161796e-61
150,6,2,-9.556850538178225e-40
150,6,3,-3.448427836150051e-23
150,6,4,-1.579553072193431e-11
150,6,5,-3.1920003576809766e-05
150,6,6,0.4544013951830308
150,7,1,-2.268094660775904e-68
150,7,2,-1.3030805880835338e-46
150,7,3,1.0665848555917152e-29
150,7,4,5.501343152695877e-16
150,7,5,1.8271443000260188e-07
150,7,6,0.0011232659154661216
150,8,1,7.322750675770327e-82
150,8,2,2.0755846527956235e-58
150,8,3,5.648062127934503e-40
150,8,4,1.6016585925215143e-26
150,8,5,5.254665345364729e-18
150,8,6,3.2277995895824465e-14
210,1,1,-6.2078483434867215e-86
210,1,2,-1.811213071393318e-62
210,1,3,-5.452853749193928e-44
210,1,4,-1.753809600502783e-30
210,1,5,-6.766079163042772e-22
210,1,6,-5.30476536321775e-18
210,2,1,-8.597041427260087e-75
210,2,2,-1.9431561052801453e-51
210,2,3,-5.7503730067271884e-33
210,2,4,-1.8457568615293942e-19
210,2,5,-7.678776956403627e-11
210,2,6,-8.462036399285151e-07
210,3,1,-1.2411925152063384e-61
