"","SubjNum","Movie","Condition","Sec","dataset"
"74","e152008","3.1.3_C1_trim","coarse",416.867876365002,"second_dataset"
"75","e152008","3.1.3_C1_trim","coarse",423.523896243001,"second_dataset"
"76","e152008","3.1.3_C1_trim","coarse",568.139897100998,"second_dataset"
"77","e152008","2.4.1_C1_trim","coarse",13.8039008089982,"second_dataset"
"78","e152008","2.4.1_C1_trim","coarse",314.011923336002,"second_dataset"
"79","e152008","2.4.1_C1_trim","coarse",363.411942061997,"second_dataset"
"80","e152008","2.4.1_C1_trim","coarse",401.219980187001,"second_dataset"
"81","e152008","2.4.1_C1_trim","coarse",404.947948747002,"second_dataset"
"82","e152008","2.4.1_C1_trim","coarse",633.267968772001,"second_dataset"
"83","e152009","1.2.3_C1_trim","coarse",7.937525714,"second_dataset"
"84","e152009","1.2.3_C1_trim","coarse",57.7615260679995,"second_dataset"
"85","e152009","1.2.3_C1_trim","coarse",185.881535842999,"second_dataset"
"86","e152009","1.2.3_C1_trim","coarse",277.377551574,"second_dataset"
"87","e152009","1.2.3_C1_trim","coarse",338.633566662999,"second_dataset"
"88","e152009","1.2.3_C1_trim","coarse",436.897584529,"second_dataset"
"89","e152009","1.2.3_C1_trim","coarse",577.009589314,"second_dataset"
"90","e152009","6.3.9_C1_trim","coarse",17.1397762870001,"second_dataset"
"91","e152009","6.3.9_C1_trim","coarse",347.227830462,"second_dataset"
"92","e152009","6.3.9_C1_trim","coarse",429.755849809,"second_dataset"
"93","e152009","6.3.9_C1_trim","coarse",526.275860082999,"second_dataset"
"94","e152009","6.3.9_C1_trim","coarse",670.915854202,"second_dataset"
"95","e152009","3.1.3_C1_trim","coarse",347.100780348001,"second_dataset"
"96","e152009","3.1.3_C1_trim","coarse",422.564794896,"second_dataset"
"97","e152009","3.1.3_C1_trim","coarse",467.108802118,"second_dataset"
"98","e152009","2.4.1_C1_trim","coarse",10.0351031170003,"second_dataset"
"99","e152009","2.4.1_C1_trim","coarse",215.579119069001,"second_dataset"
"100","e152009","2.4.1_C1_trim","coarse",328.859168652,"second_dataset"
"101","e152009","2.4.1_C1_trim","coarse",401.115165478001,"second_dataset"
"102","e152009","2.4.1_C1_trim","coarse",587.467228654001,"second_dataset"
"103","e152009","2.4.1_C1_trim","coarse",637.779190915,"second_dataset"
"104","e152010","1.2.3_C1_trim","coarse",153.005869519,"second_dataset"
"105","e152010","1.2.3_C1_trim","coarse",385.165907619,"second_dataset"
"106","e152010","6.3.9_C1_trim","coarse",83.3124684009999,"second_dataset"
"107","e152010","6.3.9_C1_trim","coarse",306.336483801,"second_dataset"
"108","e152010","6.3.9_C1_trim","coarse",669.184541653,"second_dataset"
"109","e152010","3.1.3_C1_trim","coarse",439.838421141,"second_dataset"
"110","e152010","2.4.1_C1_trim","coarse",138.167755527,"second_dataset"
"111","e152010","2.4.1_C1_trim","coarse",399.359844807,"second_dataset"
"112","e152011","1.2.3_C1_trim","coarse",5.16923459700047,"second_dataset"
"113","e152011","1.2.3_C1_trim","coarse",80.9052139900014,"second_dataset"
"114","e152011","1.2.3_C1_trim","coarse",82.2972193910027,"second_dataset"
"115","e152011","1.2.3_C1_trim","coarse",152.097230931999,"second_dataset"
"116","e152011","1.2.3_C1_trim","coarse",155.729247146002,"second_dataset"
"117","e152011","1.2.3_C1_trim","coarse",580.241284779004,"second_dataset"
"118","e152011","6.3.9_C1_trim","coarse",11.9451487830011,"second_dataset"
"119","e152011","6.3.9_C1_trim","coarse",296.537188422,"second_dataset"
"120","e152011","6.3.9_C1_trim","coarse",297.001189865005,"second_dataset"
"121","e152011","6.3.9_C1_trim","coarse",527.649201148,"second_dataset"
"122","e152011","6.3.9_C1_trim","coarse",530.793255548,"second_dataset"
"123","e152011","6.3.9_C1_trim","coarse",670.313226940998,"second_dataset"
"124","e152011","3.1.3_C1_trim","coarse",7.03072199699818,"second_dataset"
"125","e152011","3.1.3_C1_trim","coarse",21.4867117180038,"second_dataset"
"126","e152011","3.1.3_C1_trim","coarse",22.6947130550034,"second_dataset"
"127","e152011","3.1.3_C1_trim","coarse",575.726759124002,"second_dataset"
"128","e152011","2.4.1_C1_trim","coarse",12.4657343280051,"second_dataset"
"129","e152011","2.4.1_C1_trim","coarse",335.961791803005,"second_dataset"
"130","e152011","2.4.1_C1_trim","coarse",359.481742825003,"second_dataset"
"131","e152011","2.4.1_C1_trim","coarse",626.785791605005,"second_dataset"
"132","e152013","1.2.3_C1_trim","coarse",80.7392730680003,"second_dataset"
"133","e152013","1.2.3_C1_trim","coarse",143.531285282006,"second_dataset"
"134","e152013","1.2.3_C1_trim","coarse",273.37928184701,"second_dataset"
"135","e152013","1.2.3_C1_trim","coarse",334.971309691013,"second_dataset"
"136","e152013","1.2.3_C1_trim","coarse",429.019299487001,"second_dataset"
"137","e152013","1.2.3_C1_trim","coarse",578.387313611005,"second_dataset"
"138","e152013","6.3.9_C1_trim","coarse",273.760516203998,"second_dataset"
"139","e152013","6.3.9_C1_trim","coarse",417.328502242002,"second_dataset"
"140","e152013","6.3.9_C1_trim","coarse",531.512545199002,"second_dataset"
"141","e152013","6.3.9_C1_trim","coarse",668.480535587005,"second_dataset"
"142","e152013","3.1.3_C1_trim","coarse",20.2736186179973,"second_dataset"
"143","e152013","3.1.3_C1_trim","coarse",79.3696263009915,"second_dataset"
"144","e152013","3.1.3_C1_trim","coarse",151.769632730997,"second_dataset"
"145","e152013","3.1.3_C1_trim","coarse",352.777647066992,"second_dataset"
"146","e152013","3.1.3_C1_trim","coarse",416.153667449995,"second_dataset"
"147","e152013","3.1.3_C1_trim","coarse",462.921678653001,"second_dataset"
"148","e152013","2.4.1_C1_trim","coarse",175.337445590994,"second_dataset"
"149","e152013","2.4.1_C1_trim","coarse",331.305463463999,"second_dataset"
"150","e152013","2.4.1_C1_trim","coarse",401.257473513993,"second_dataset"
"151","e152013","2.4.1_C1_trim","coarse",625.601509240994,"second_dataset"
"152","e152014","1.2.3_C1_trim","coarse",57.669840276998,"second_dataset"
"153","e152014","1.2.3_C1_trim","coarse",81.517851209006,"second_dataset"
"154","e152014","1.2.3_C1_trim","coarse",151.885844142002,"second_dataset"
"155","e152014","1.2.3_C1_trim","coarse",275.717854768009,"second_dataset"
"156","e152014","1.2.3_C1_trim","coarse",339.501891450011,"second_dataset"
"157","e152014","1.2.3_C1_trim","coarse",441.397883601006,"second_dataset"
"158","e152014","1.2.3_C1_trim","coarse",576.861923524004,"second_dataset"
"159","e152014","6.3.9_C1_trim","coarse",282.606205132004,"second_dataset"
"160","e152014","6.3.9_C1_trim","coarse",303.038213416003,"second_dataset"
"161","e152014","6.3.9_C1_trim","coarse",442.486210210002,"second_dataset"
"162","e152014","6.3.9_C1_trim","coarse",526.854231431003,"second_dataset"
"163","e152014","6.3.9_C1_trim","coarse",670.90226177701,"second_dataset"
"164","e152014","3.1.3_C1_trim","coarse",69.7563685310015,"second_dataset"
"165","e152014","3.1.3_C1_trim","coarse",170.716369574002,"second_dataset"
"166","e152014","3.1.3_C1_trim","coarse",343.076352546996,"second_dataset"
"167","e152014","3.1.3_C1_trim","coarse",415.220388878006,"second_dataset"
"168","e152014","3.1.3_C1_trim","coarse",460.676373605995,"second_dataset"
"169","e152014","3.1.3_C1_trim","coarse",570.116390905008,"second_dataset"
