frame,gridx,gridy,hand_value
90,4,1,1.48941081888498e-17
90,4,2,5.396566505537489e-10
90,4,3,0.0005128485665105893
90,4,4,0.0847239700782485
90,4,5,0.023604966225041882
90,4,6,1.5968281400854704e-06
90,5,1,2.701357679226467e-23
90,5,2,4.774850222177952e-15
90,5,3,3.3185821818281425e-09
90,5,4,5.84945024862058e-07
90,5,5,1.6462577398999613e-07
90,5,6,1.1276147964808937e-11
90,6,1,2.0156253644920706e-19
90,6,2,3.709060450744112e-11
90,6,3,6.366320075792639e-07
90,6,4,2.6238195122764658e-05
90,6,5,6.432276658054673e-05
90,6,6,6.826809917919151e-06
90,7,1,5.113724535270125e-20
90,7,2,1.1809685217536294e-11
90,7,3,4.0699279782584045e-07
90,7,4,0.00029506389145974774
90,7,5,0.03905550905668931
90,7,6,0.011144968682591036
90,8,1,1.0921772847310414e-26
90,8,2,8.148910952457234e-18
90,8,3,7.574874969707581e-11
90,8,4,0.00034876080003135105
90,8,5,0.06084648780562412
90,8,6,0.01708928841808117
150,1,1,1.3480514364034798e-24
150,1,2,1.0677117916167251e-17
150,1,3,6.246252253972706e-13
150,1,4,6.152903380046256e-12
150,1,5,1.3757253652131015e-13
150,1,6,1.763711987117229e-19
150,2,1,2.5293537528500057e-16
150,2,2,2.9000433618407163e-09
150,2,3,0.00017487374567806308
150,2,4,0.0018267865962271436
150,2,5,4.479973285451706e-05
150,2,6,7.485542253573666e-11
150,3,1,6.019644191047937e-15
150,3,2,9.25003687480162e-08
150,3,3,0.006132134981783811
150,3,4,0.1395083733683045
150,3,5,0.02340349631262895
150,3,6,1.477189027718158e-06
150,4,1,2.0322241416825232e-17
150,4,2,5.643454747961757e-10
150,4,3,0.0005051192336460818
150,4,4,0.0833185191728678
150,4,5,0.023226130876978137
150,4,6,1.573073829552923e-06
150,5,1,6.744585486195267e-23
150,5,2,1.0671000948107212e-14
150,5,3,3.280230161938078e-09
150,5,4,5.755070161516757e-07
150,5,5,1.6207144891075625e-07
150,5,6,1.111620344555928e-11
150,6,1,5.00408813028718e-19
150,6,2,8.137649345801486e-11
150,6,3,8.176997372935839e-07
150,6,4,2.862657826454529e-05
150,6,5,6.867964307302578e-05
150,6,6,7.2020081183988744e-06
150,7,1,1.2591735459582474e-19
150,7,2,2.3124084185139977e-11
150,7,3,4.7520415854166906e-07
150,7,4,0.0003059269653941462
150,7,5,0.03997670332613681
150,7,6,0.011414348529954023
150,8,1,2.4835479381023226e-26
150,8,2,1.0800344400751276e-17
150,8,3,7.682865910683583e-11
150,8,4,0.0003526182371155184
150,8,5,0.06148526767661696
150,8,6,0.017262331428449938
210,1,1,2.1165149061243693e-24
210,1,2,1.219902546332625e-17
210,1,3,6.298890046845241e-13
210,1,4,6.2107941789982656e-12
210,1,5,1.3914252156161042e-13
210,1,6,1.7909474840695333e-19
210,2,1,3.7602849055490946e-16
