frame,gridx,gridy,hand_value
30,1,1,-5.752685347325696e-35
30,1,2,-1.182172500795418e-19
30,1,3,3.807767841723471e-09
30,1,4,0.009504512213900461
30,1,5,0.4069830081665395
30,1,6,0.008569707441724467
30,2,1,-4.2487176745814157e-36
30,2,2,-1.9857227684824937e-20
30,2,3,-1.0712547823230793e-09
30,2,4,-0.0008779393237506428
30,2,5,-0.04380322741537684
30,2,6,-0.005255481552238515
30,3,1,-1.8348831099330181e-44
30,3,2,-9.449136354556028e-29
30,3,3,-5.660300472507857e-18
30,3,4,-4.957665489645726e-12
30,3,5,-2.417820315597714e-10
30,3,6,-2.6705119269184586e-11
30,4,1,-1.6867396458327232e-61
30,4,2,-9.205304895290336e-46
30,4,3,-5.806252359185061e-35
30,4,4,-5.248521546827324e-29
30,4,5,-2.56560303820774e-27
30,4,6,-2.7939989083141736e-28
30,5,1,-2.4175781954336024e-87
30,5,2,-1.3922306335915955e-71
30,5,3,-9.172063537292077e-61
30,5,4,-8.520034336106165e-55
30,5,5,-4.198310735492135e-53
30,5,6,-4.568118565924027e-54
30,6,1,-4.921965758717053e-122
30,6,2,-2.965515289288368e-106
30,6,3,-2.0204766234818823e-95
30,6,4,-1.9156101977616122e-89
30,6,5,-9.507795945598328e-88
30,6,6,-1.0364520957029953e-88
30,7,1,-1.3700077558027294e-165
30,7,2,-8.547613849820879e-150
30,7,3,-5.9656286395862716e-139
30,7,4,-5.735679672755072e-133
30,7,5,-2.861256632391194e-131
30,7,6,-3.124427653414799e-132
30,8,1,-5.104980615940702e-218
30,8,2,-3.266353132050075e-202
30,8,3,-2.3170684318155267e-191
30,8,4,-2.2476961798430517e-185
30,8,5,-1.1246870570252475e-183
30,8,6,-1.229312074228582e-184
90,1,1,-2.3554233147048376e-35
90,1,2,-1.6067534719103238e-20
90,1,3,5.461719347360959e-09
90,1,4,0.00844545500423516
90,1,5,0.38278571447273074
90,1,6,0.021703020869950875
90,2,1,-2.193151802044443e-36
90,2,2,-1.0185121141997375e-20
90,2,3,-5.461146908002341e-10
90,2,4,-0.0004472097193801048
90,2,5,-0.02248887682774628
90,2,6,-0.0027316711369805547
90,3,1,-9.77347401162797e-45
90,3,2,-5.051777948591271e-29
90,3,3,-3.0395629086282535e-18
90,3,4,-2.674902742440709e-12
90,3,5,-1.3093006960147897e-10
90,3,6,-1.4506824582101124e-11
90,4,1,-9.05823012125229e-62
90,4,2,-4.9612361646136826e-46
90,4,3,-3.140497331813985e-35
90,4,4,-2.84795453868372e-29
90,4,5,-1.3951036256516505e-27
90,4,6,-1.5218281982105147e-28
90,5,1,-1.3043519624762462e-87
90,5,2,-7.533551731899796e-72
90,5,3,-4.9761183927762225e-61
90,5,4,-4.6322687995316165e-55
90,5,5,-2.285597160899437e-53
90,5,6,-2.4893889938515146e-54
90,6,1,-2.66365532309862e-122
90,6,2,-1.6084993021412373e-106
90,6,3,-1.0979541296784183e-95
90,6,4,-1.0424756350043613e-89
90,6,5,-5.178621868261346e-88
90,6,6,-5.64885820666606e-89
90,7,1,-7.429257313509892e-166
90,7,2,-4.642939291604045e-150
90,7,3,-3.2447064058764284e-139
90,7,4,-3.1227488848854883e-133
90,7,5,-1.558713438154879e-131
90,7,6,-1.7028234491840825e-132
90,8,1,-2.7720071252570873e-218
90,8,2,-1.7757683876023908e-202
90,8,3,-1.260852660305983e-191
90,8,4,-1.2239617609062954e-185
90,8,5,-6.126963110771617e-184
90,8,6,-6.69903674760203e-185
150,1,1,1.0418387179160207e-35
150,1,2,8.60821806413353e-20
150,1,3,7.11567085299845e-09
150,1,4,0.007386397794569864
150,1,5,0.3585884207789227
150,1,6,0.03483633429817726
150,2,1,-1.3758592950746838e-37
150,2,2,-5.130145991698147e-22
150,2,3,-2.097459927738879e-11
150,2,4,-1.648011500956676e-05
150,2,5,-0.00117452624011571
150,2,6,-0.0002078607217225873
150,3,1,-1.1981169239257603e-45
150,3,2,-6.544195426265163e-30
150,3,3,-4.188253447486488e-19
150,3,4,-3.921399952356925e-13
150,3,5,-2.007810764318653e-11
150,3,6,-2.308529895017668e-12
150,4,1,-1.2490637841773533e-62
150,4,2,-7.171674339370323e-47
150,4,3,-4.747423044429084e-36
150,4,4,-4.473875305401162e-30
150,4,5,-2.2460421309555993e-28
150,4,6,-2.4965748810685793e-29
150,5,1,-1.9112572951889e-88
150,5,2,-1.1447971278836413e-72
150,5,3,-7.801732482603646e-62
150,5,4,-7.445032629570681e-56
150,5,5,-3.7288358630673967e-54
150,5,6,-4.106594217790009e-55
150,6,1,-4.053448874801873e-123
150,6,2,-2.5148331499410634e-107
150,6,3,-1.7543163587495467e-96
150,6,4,-1.6934107224711092e-90
150,6,5,-8.494477909243689e-89
150,6,6,-9.33195456302159e-90
150,7,1,-1.158437068992492e-166
150,7,2,-7.382647333872122e-151
150,7,3,-5.237841721665853e-140
150,7,4,-5.098180970159043e-134
150,7,5,-2.5617024391856165e-132
150,7,6,-2.812192449533664e-133
150,8,1,-4.390336345734738e-219
150,8,2,-2.851836431547062e-203
150,8,3,-2.0463688879643956e-192
150,8,4,-2.0022734196954013e-186
150,8,5,-1.0070556512907613e-184
150,8,6,-1.1049527529182372e-185
210,1,1,3.6217687958159957e-37
210,1,2,3.440857661147185e-21
210,1,3,6.387543679176075e-10
210,1,4,0.0021887476045674833
210,1,5,0.3122795613516632
210,1,6,0.07705079397859078
210,2,1,1.2576393862305946e-38
210,2,2,7.821837528356125e-23
210,2,3,7.074344296849416e-12
210,2,4,1.3481185508596349e-05
210,2,5,0.0015170926362335056
210,2,6,0.00034356674671773453
210,3,1,5.484786634364706e-47
210,3,2,3.2742110974800154e-31
210,3,3,2.3456608906913074e-20
210,3,4,2.5608966789611608e-14
210,3,5,1.5604306994042115e-12
210,3,6,2.1816117292485335e-13
210,4,1,5.544737958918526e-64
210,4,2,3.3981362981023055e-48
210,4,3,2.4098132418893846e-37
210,4,4,2.4443357014367287e-31
210,4,5,1.308512898956174e-29
210,4,6,1.5492408547568365e-30
210,5,1,8.568660284547638e-90
